Number_Plate,Date,Time
HESD,2026-09-04,13:36:25
IWZJ,2026-09-04,13:36:25
PXPF,2026-09-04,13:36:51
A437,2026-09-04,13:37:08
5D3A,2026-09-04,13:37:09
LD4BELI,2026-09-04,13:37:11
EEEJ,2026-09-04,13:37:21
EID33,2026-09-04,13:37:24
VWMY,2026-09-04,13:38:42
IODS,2026-09-04,13:39:30
IAYA34,2026-09-04,13:39:38
7SSID4,2026-09-04,13:40:15
VSBA,2026-09-04,13:41:26
EYTEONTA2XX,2026-09-04,13:42:20
THBD,2026-09-04,13:42:28
SALA,2026-09-04,13:42:57
IEAE6,2026-09-04,13:43:16
2RG7,2026-09-04,13:43:28
TSAR,2026-09-04,13:44:00
YFPEAA,2026-09-04,13:44:19
EIFF7,2026-09-04,13:44:30
IMEYA,2026-09-04,13:44:59
DIVS,2026-09-04,13:45:43
AIN54,2026-09-08,19:33:19
INAS,2026-09-08,19:33:21
I46OUS,2026-09-08,19:33:21
INEMP,2026-09-08,19:33:22
IACS,2026-09-08,19:33:24
BDA1,2026-09-08,19:33:36
JI4S,2026-09-08,19:34:06
4AOER,2026-09-08,19:34:52
RTEEE,2026-09-08,19:34:53
COPS,2026-09-08,19:35:16
IOWW,2026-09-08,19:35:19
TN48,2026-09-08,19:35:35
IN45,2026-09-08,19:35:38
TN46,2026-09-08,19:35:51
TN48MY,2026-09-08,19:36:07
AMIN7A,2026-09-08,19:36:07
BYRNE,2026-09-08,19:36:08
9517,2026-09-08,19:36:08
9817OD,2026-09-08,19:36:11
FSDENROER74,2026-09-08,19:36:17
EN46,2026-09-08,19:36:20
TN48Z,2026-09-08,19:36:25
IN4S,2026-09-08,19:36:30
AAUERIX,2026-09-08,19:36:32
CA04,2026-09-08,19:36:33
IOMSOS7,2026-09-08,19:36:33
LI7CVV8B,2026-09-08,19:36:33
TRAN,2026-09-08,19:37:34
TN48BFOOSTR,2026-09-08,19:37:39
7EEEE4,2026-09-08,19:37:40
OUAAA,2026-09-08,19:37:42
INIAN,2026-09-08,19:37:43
ONMELE,2026-09-08,19:37:43
AOHALT,2026-09-08,19:37:50
EOOR,2026-09-08,19:37:50
IRIUNWEBCAM,2026-09-08,19:38:26
IRLUNWEBCAMY,2026-09-08,19:38:27
IRIUN,2026-09-08,19:38:28
ADIAT,2026-09-08,19:55:31
BIAS,2026-09-08,19:55:31
TRLUN,2026-09-08,19:55:32
TRHTNWEBCAMAA,2026-09-08,19:55:39
TRIGNWEBCAMAA,2026-09-08,19:55:40
IRIANWEBCAMANY,2026-09-08,19:55:40
BEDSG,2026-09-08,19:55:42
TRIKTNPY,2026-09-08,19:55:42
FSEE,2026-09-08,19:56:01
TN489,2026-09-08,19:56:04
